product_id,reviewer_id,review_title,star_rating,review_date,review_text
B000FQ9R4E,AHNWCIMEO7JLVTM4E7PZE7QTSBLA,Great Gift,5,1-Jan-16,Bought this for my Nephew. He loved it and played it for hours.
B000FQ9R4E,AHNWCIMEO7JLVTM4E7PZE7QTSBLA,Great Gift,5,1-Jan-16,Bought this for my Nephew. He loved it and played it for hours.
B000FQ9R4E,AG7PAESMMDBWGIEHNQYG3T2F3CEQ,Excellent Quality,5,3-Jan-16,"At first I was worried on whether the game would arrive scratched or not, but thankfully it didnt. Very fast shipping. The game itself is really fun, both brawl and adventure mode."
B000FQ9R4E,AG7BGTSCSXAXCYTDHKSEMAIZKGVQ,Dose not work!!!,1,4-Jan-16,I ordered this for Christmas it was brand new. We stuck it in Christmas morning and it says disc unreadable. Also I can't return it because it's past the deadline. Terrible customer service!!
B000FQ9R4E,AG3QO22X5JPG7A2VLXMMMVEE4NPA,AMAZING GAME!,5,4-Jan-16,Not as good as the original but very cool. I like playing this with my brother.
B000FQ9R4E,AFHK3ZVP5ORV7T23HF6FWHQXDXOA,I don't know what to do.,1,7-Jan-16,"It doesn't seem to be the original brawl. It has extra cut scenes and weird things happen. As soon as I put it in my Wii it said I had unlocked something, and I hadn't even PLAYED it yet."
B000FQ9R4E,AEJCAJBP6YZOJPWAE65MN7ZM5B4A,Five Stars,5,10-Jan-16,Great Product. Does the job it is expected to do. Fast shipping as well.
B000FQ9R4E,AF5OIAYWAPTA72LT4JKH27LVFU2A,Fun and challenging game.,5,19-Jan-16,This was a Christmas gift for my grandson.  He thoroughly enjoys playing it.
B000FQ9R4E,AF5OIAYWAPTA72LT4JKH27LVFU2A,Fun and challenging game.,5,19-Jan-16,This was a Christmas gift for my grandson.  He thoroughly enjoys playing it.
B000FQ9R4E,AH5JGQQTFONAMKD3CCNUYKA6QSCQ,not again,1,27-Jan-16,This game messes up in the Wii. It was brand new and our Wii is brand new. Use caution when buying this particular game.
B000FQ9R4E,AG63LSX5BPCVUCCK2UKIP74NM5HA,... received this order on time and this game is fun. It reminded me of super smash brother for ...,5,27-Jan-16,I received this order on time and this game is fun. It reminded me of super smash brother for the Nintendo 64
B000FQ9R4E,AE4VV6AO4OSHMQSFE7BUB3IYPVUQ,I've got a very disappointed,3,30-Jan-16,Half the time it doesn't work on my wii. I've got a very disappointed child
B000FQ9R4E,AFVK6UCDZSXVNTS63UWCZOBLOU3A,I like to play with fred,5,4-Feb-16,"Thank you, I like to play with fred, my imaginary friend as my mom calls him, he's so cool, he's mostly quiet with a big burn mark on the side of his face and he visits me every night, hope he likes this game as much as I do! :3"
B000FQ9R4E,AHYW5G4ZES32IVAXMXSFI6QBDLNQ,Really amazing game but ⭐️,5,18-Feb-16,"The game in general is amazing, been waiting to play this game a really long time now we can.The only thing is that the instructions booklet is not included and I didn't expect that, also it took too long to be shipped but still it got here quick after all.Still a wonderful video game and totally recommend it!"
B000FQ9R4E,AFSTWO2RUQAUEKAHBVWOZM5EI55Q,Awesome game,5,26-Feb-16,Made it on time and had no scratches. Worth the price and wait.
B000FQ9R4E,AFNINTFB5XSCYHK4LWWSBFJTOCGA,great game it is very fun fun to play by ...,5,28-Feb-16,great game it is very fun fun to play by myself and with other people there is so much content and truly its a great gamei really recommend it :)
B000FQ9R4E,AE5GMZKWEX3W2DGXTUVW4PVUTKGA,Awesome!,5,9-Mar-16,"The new special moves are questionable, but overall, this is a wonderful game, and the game I bought a Wii to play, along with Mario galaxy."
B000FQ9R4E,AGD5HGWGVMPCILUFY7E4EAALGCYA,Five Stars,5,18-Mar-16,We love this game. It is perfect for any family that wants to have a good game night.
B000FQ9R4E,AGYKPHN6CD3WJERIOLMSFTERA7UQ,Fun game!,5,24-Mar-16,Arrived quickly and as advertised. My kids play it all the time and it has held up well.
B000FQ9R4E,AGTYCJLQBYBKFSYOBW2733MGI2OA,Multi-player and super fun for all ages really.,5,30-Mar-16,Son's friend loved this game so much we bought it for him too. Great for multiple players and lot of fun!
B000FQ9R4E,AERGHE73377X4IT4OIDQ5ORB5EZQ,20 years later...,5,5-Apr-16,Kids are totally entertained. I'm pretty sure we'll be playing this twenty years down the road...
B000FQ9R4E,AH2SX45VFNR7IG2HA5HTEHBRXUFA,I like this.,5,5-Apr-16,Arrived quickly and in great condition! Lots of fun to play.
B000FQ9R4E,AH2SX45VFNR7IG2HA5HTEHBRXUFA,I like this.,5,5-Apr-16,Arrived quickly and in great condition! Lots of fun to play.
B000FQ9R4E,AGE377REZGRJQRG7GNLGINSDJXHQ,Still one of favorite games to play came in with case and,5,11-Apr-16,Still one  of favorite games to play came in with case and manual
B000FQ9R4E,AFQRWOLV65O4QJVQWS64QT6NSJYA,They love it and play it frequently,5,14-Apr-16,I bought this for my grandchildren.  They love it and play it frequently.
B000FQ9R4E,AE366YNQY5CFO6GSNRQKTB4BRFLQ,Fun to play,5,16-Apr-16,"This is a fun game that you can play alone or with up to 4 players. It is a nicer version, less graphic for kids to play than any other challenge or combat game. Great fun for the entire family."
B000FQ9R4E,AGG5FCHEXK324NN7D4ZJWEQSR3PA,Five Stars,5,26-Apr-16,This game is just too much fun. I played too much on the first day lol
B000FQ9R4E,AEUAQZPSZGLJQXDGZMZAZANKUWOA,My son loves this game!  It gets rave reviews from his friends too!,5,28-Apr-16,My son loves this game!  It gets rave reviews from his friends too!
B000FQ9R4E,AEJCPBA3IWMAGV5JRF7MBFVILTVA,One Star,1,19-May-16,"Game had NO manual, NO case and it didn't work, fake stock photo. Got refunded 😕"
B000FQ9R4E,AGROEJZ2V7KHHHV3Q5564YLAY2YQ,Five Stars,5,14-Jun-16,Great product. Exactly as described. Would recommend to friends. Would buy again.
B000FQ9R4E,AHTPTPEIW7D7VRJQ2A5DL4ROSZNQ,Another Look back,5,29-Jun-16,"This game is fun! I got after playing Smash 4 and Melee so it took a little time to adjust to the physics and speed but after that it felt like 4. The best part of this game is the characters, my personal favorite being Wolf O'Donnel from StarFox because he fits ny playstyle. There is also a story mode known as the Subspace emissary. I enjoy seeing teams of Nintendo characters and unlikely alliances but the universe of the SSE was bland, none of the characters talk but a couple of them use few words. So the story was hard to follow. The stages in Brawl mode are good, they brought back a plethora of stages from Melee. Most of them have to be unlocked though. This game has tons of unlockables it will take a while to get them all. The game is most fun with 4 friends like all Smash Bros. games although doing 1v1,s is fun like every smash game. This is the best game to start with to get good at Smash in my opinion so give it a shot you won't be dissapointed."
B000FQ9R4E,AEYL7CL5HB6FIBFLBTHRA5AY52BA,Awesome,5,29-Jun-16,"Great game, love the updates. Just wish they expanded the diy level capabilities!!"
B000FQ9R4E,AG63U4Z5FQSPGIAL7YCMAQBZUVPQ,Good for bonding.,4,30-Jun-16,"My husband and I enjoy playing together. He's a higher level gamer, and I'm...not. I've still managed to win a few with just the random button pressing, which makes it more fun."
B000FQ9R4E,AFFY52JIQHIEBF3S4YYHIWPYXTRQ,Fun for months!,5,7-Jul-16,Great graphics. We play it a lot. Good battles and power ups!
B000FQ9R4E,AGDXEQT6B65IWPD4KBXEQK4QE7OQ,Game is great but I bought it for Christmas for my brother ...,1,16-Jul-16,Game is great but I bought it for Christmas for my brother and it took almost 2 months to get to me!
B000FQ9R4E,AGFW6PALFJ6CGDLBUPNVRBY32XUQ,Five Stars,5,24-Jul-16,"I like the graphics, a lot better than super smash bros melee"
